Event Date,Facility Type,Occupational Category of Person Affected,Aggressor,Type of Violence,Primary Assault Description,Primary Contributing Factors,Severity of Assault,Emotional and/ or Psychological Impact,Level of Care Needed,Response Action Taken,Assault Description,Department/Office Incident Took Place,Assault Description
10/1/2024,ED,<N/S>,Other,Physical,Hit w/ Fist,<N/S>,Severe,None - No emotional and/or psychological impact,ED,De-escalation Techniques Utilized; Physical Hold,,,
9/20/2024,Other,<N/S>,Inpatient,Verbal,Gender / Sexist Comments; Unwelcome or Offensive Language/Gestures,N/A or Unknown,None,<N/S>,<N/S>,Behavioral Expectations Reviewed,,,
9/28/2024,Other,<N/S>,Inpatient,Physical,attemptted to kiss; Grabbed; Unwelcome or Offensive Touching,N/A or Unknown,None,<N/S>,<N/S>,Behavioral Expectations Reviewed,,,
10/1/2024,Other,<N/S>,Outpatient,Physical,Grabbed,<N/S>,Moderate,None - No emotional and/or psychological impact,Other (please specify),Behavioral Expectations Reviewed,,,
10/1/2024,Other,<N/S>,Resident (LTC),Verbal,Getting into staff's vehicle without consent,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/2/2024,Other,<N/S>,Other,Physical,no violence,<N/S>,Other,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),Notified Supervisor,,,
10/2/2024,Other,<N/S>,Outpatient,Verbal,Intimidation; Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Clinical Physician Resources,,,
10/2/2024,Other,<N/S>,Inpatient,Verbal,Screaming or Yelling,N/A or Unknown,None,<N/S>,<N/S>,Notified Supervisor,,,
10/2/2024,Med/Surg/Inpatient,<N/S>,Inpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Threat of Violence",N/A or Unknown,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
10/2/2024,ED,Allied Health/Technologist,Inpatient,Physical,Hair Pulling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Security; Notified Supervisor; Physical Hold,,,
10/2/2024,ED,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Slapped,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold,,,
10/3/2024,Other,Physician/APP,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling",N/A or Unknown,None,<N/S>,<N/S>,Notified Supervisor,,,
10/3/2024,ED,<N/S>,Visitor,Written/Digital,Intimidation; Racial / Cultural Comments; Threat of Violence; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
10/3/2024,Other,Allied Health/Technologist,Outpatient,Verbal,Intimidation; Racial / Cultural Comments,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/3/2024,Other,"Nurse (RN, LPN, LNA)",Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/3/2024,Other,<N/S>,Outpatient,Verbal,he did not raise his voice but he had this very scary way of speaking; Intimidation,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/4/2024,Other,<N/S>,Other,Property Damage/Vandalism,Aggression Toward an Inanimate Object,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/4/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
10/3/2024,Other,<N/S>,Visitor,Verbal,Intimidation; Screaming or Yelling; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Called 911; De-escalation Techniques Utilized,,,
10/4/2024,ED,<N/S>,Outpatient,Verbal,"Gender / Sexist Comments; Profane, Lewd or Aggressive Language; Racial / Cultural Comments; Screaming or Yelling; Threat of Violence",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/4/2024,Other,<N/S>,Outpatient,Verbal,Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Supervisor,,,
10/3/2024,Other,<N/S>,Inpatient,Physical,Bitten; Hit w/ Fist; Kicked,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called Code Gray; De-escalation Techniques Utilized; Mechanical Restraint; Notified Security; Notified Supervisor; Physical Hold,,,
10/4/2024,ED,<N/S>,Inpatient,Verbal,"Intimidation; name calling; Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called 911; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor,,,
10/5/2024,BC,<N/S>,Inpatient,Physical,Hit w/ Fist,<N/S>,Mild,Mild - Upset / Angry / Scared / Humiliated,<N/S>,De-escalation Techniques Utilized,,,
10/5/2024,Other,<N/S>,Inpatient,Physical,Hit w/ Fist; Kicked; Scratched,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/6/2024,ED,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling",N/A or Unknown,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
10/6/2024,Other,<N/S>,Other,Physical,Almost hit w/ object,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/7/2024,SCU,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids; Kicked,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called Code Gray; Chemical Restraint; De-escalation Techniques Utilized; Mechanical Restraint; Notified Security; Notified Supervisor,,,
9/16/2024,Other,Physician/APP,Outpatient,Physical,Carrying weapons against policy; Intimidation,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/3/2024,Other,<N/S>,Outpatient,Verbal,Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/7/2024,Other,<N/S>,Outpatient,Verbal,"Agitated voice, agressive",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/7/2024,Other,<N/S>,Other,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/8/2024,ED,<N/S>,Outpatient,Verbal,Screaming or Yelling; Threat of Violence,<N/S>,Severe,None - No emotional and/or psychological impact,ED,Called 911; De-escalation Techniques Utilized; Mechanical Restraint; Notified Security; Physical Hold,,,
10/8/2024,ED,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids,<N/S>,None,<N/S>,<N/S>,Chemical Restraint; De-escalation Techniques Utilized; Physical Hold,,,
10/8/2024,ED,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence",<N/S>,None,None - No emotional and/or psychological impact,ED,Physical Hold,,,
10/8/2024,ED,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Threat of Violence",<N/S>,None,<N/S>,<N/S>,Called 911; Notified Security,,,
10/7/2024,Other,Physician/APP,Visitor,Verbal,Intimidation,N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/7/2024,Other,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Grabbed; Hit w/ Fist; Kicked; Pushed; Slapped,<N/S>,Severe,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),Physical Hold,,,
10/9/2024,ED,"Nurse (RN, LPN, LNA)",Outpatient,Physical,Hit w/ Fist; Scratched,sent from nursing home due to aggression with roommate. Facility will only take patient back when able to provide a private room. ,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Mechanical Restraint; Notified Security; Physical Hold,,,
9/29/2024,Med/Surg/Inpatient,<N/S>,Inpatient,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/7/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/4/2024,Other,<N/S>,<N/S>,<N/S>,<N/S>,<N/S>,None,<N/S>,<N/S>,<N/S>,,,
10/10/2024,BC,<N/S>,Inpatient,Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,Called Code Gray; Mechanical Restraint; Physical Hold,,,
10/9/2024,Other,Administration/Support Services,Visitor,Verbal,Intimidation,Ambulatory Practice - Late Policy,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/10/2024,Other,<N/S>,Resident (LTC),Verbal,"Profane, Lewd or Aggressive Language; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/10/2024,Other,Allied Health/Technologist,Outpatient,Verbal,Intimidation,N/A or Unknown,None,<N/S>,<N/S>,Notified Clinical Physician Resources; Notified Supervisor,,,
10/10/2024,Other,<N/S>,Outpatient,Written/Digital,"Intimidation; Profane, Lewd or Aggressive Language; Stalking or Terrorizing; Slander/defamation of character with other medical provider offices, as documented in medical record",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Supervisor,,,
10/10/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
10/11/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/11/2024,Other,<N/S>,Inpatient,Physical,Bitten; Grabbed; Kicked; Scratched,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/11/2024,Other,<N/S>,Other,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/16/2024,BC,<N/S>,Inpatient,Physical,Kicked,<N/S>,Severe,Severe - Significant Emotional and/or psychological impact resulting in missed work.,Urgent Care,Physical Hold,,,
10/12/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed,,,
10/13/2024,Med/Surg/Inpatient,<N/S>,Inpatient,Physical,Threat of Violence; Intimidation; Verbal Abuse,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/13/2024,Med/Surg/Inpatient,<N/S>,Visitor,Verbal,Intimidation; Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
10/13/2024,Med/Surg/Inpatient,<N/S>,Visitor,Verbal,Intimidation; Screaming or Yelling; Stalking or Terrorizing,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/15/2024,Other,Administration/Support Services,Outpatient,Verbal,verbal,N/A or Unknown,None,<N/S>,<N/S>,Notified Supervisor,,,
10/14/2024,BC,<N/S>,Inpatient,Verbal,Intimidation; Screaming or Yelling; Stalking or Terrorizing,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
10/15/2024,Other,Administration/Support Services,Outpatient,Verbal,Screaming or Yelling; Unwelcome or Offensive Language/Gestures,N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/15/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/15/2024,Other,Administration/Support Services,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",N/A or Unknown,None,<N/S>,<N/S>,Notified Supervisor,,,
10/15/2024,Other,Allied Health/Technologist,Outpatient,Verbal,"Gender / Sexist Comments; Profane, Lewd or Aggressive Language; Unwelcome or Offensive Language/Gestures",N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/15/2024,Other,<N/S>,Outpatient,Verbal,Threat of Violence,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/15/2024,Other,<N/S>,Other,Physical,Grabbed; Scratched,<N/S>,Moderate,None - No emotional and/or psychological impact,Other (please specify),Behavioral Expectations Reviewed,,,
10/15/2024,Other,<N/S>,Other,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/15/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Called 911; Notified Supervisor,,,
10/15/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/16/2024,Other,<N/S>,Outpatient,Verbal,Intimidation; Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
10/14/2024,Other,<N/S>,Outpatient,Written/Digital,"Intimidation; Profane, Lewd or Aggressive Language; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/16/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Security,,,
10/16/2024,Other,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Slapped,Long Term Care/SNF Bed Unavailable,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
10/16/2024,Other,<N/S>,Other,Verbal,"Gender / Sexist Comments; Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/16/2024,Other,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Pushing/shoving ; Unwelcome or Offensive Touching,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called Code Gray; De-escalation Techniques Utilized; Notified Security,,,
10/16/2024,ED,<N/S>,Inpatient,Physical,Bitten,<N/S>,Mild,Mild - Upset / Angry / Scared / Humiliated,<N/S>,Behavioral Expectations Reviewed; Chemical Restraint; De-escalation Techniques Utilized; Mechanical Restraint; Notified Security; Physical Hold,,,
10/17/2024,Other,Other,Inpatient,Physical,Scratched,<N/S>,Moderate,None - No emotional and/or psychological impact,ED,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
10/17/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/17/2024,Other,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Intimidation; Kicked; Pushed; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Called Code Gray; De-escalation Techniques Utilized; Notified Supervisor,,,
10/17/2024,Other,Allied Health/Technologist,Inpatient,Physical,Grabbed,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/17/2024,SCU,Physician/APP,Inpatient,Physical,Bitten; Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,Called Code Gray; De-escalation Techniques Utilized; Notified Supervisor,,,
10/17/2024,ED,<N/S>,Inpatient,Physical,Hit w/ Object,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called Code Gray; Chemical Restraint; De-escalation Techniques Utilized; Mechanical Restraint; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold,,,
10/17/2024,ED,<N/S>,Inpatient,Physical,Kicked; Threat of Violence,<N/S>,Other,Mild - Upset / Angry / Scared / Humiliated,Other (please specify),Called Code Gray; De-escalation Techniques Utilized; Mechanical Restraint; Notified Security; Notified Supervisor; Physical Hold,,,
10/17/2024,BC,<N/S>,Inpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Threat of Violence",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources,,,
10/17/2024,Other,<N/S>,Other,Property Damage/Vandalism,Aggression Toward an Inanimate Object; Also was very aggressive towards me,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/18/2024,Other,<N/S>,Outpatient,Physical,Grabbed; Threat of Violence,<N/S>,Other,Mild - Upset / Angry / Scared / Humiliated,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Supervisor,,,
10/18/2024,Other,Other,Outpatient,Verbal,Unwelcome or Offensive Language/Gestures,N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/19/2024,ED,<N/S>,Outpatient,Physical,Hit w/ Fist; Intimidation; Kicked; Pushed; Scratched; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Security,,,
10/19/2024,ED,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids; Grabbed; Hit w/ Fist; Kicked; Scratched; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Chemical Restraint; De-escalation Techniques Utilized; Mechanical Restraint; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold,,,
10/19/2024,ED,<N/S>,Inpatient,Physical,Intimidation; Scratched; Threat of Violence,<N/S>,Moderate,None - No emotional and/or psychological impact,ED,Chemical Restraint; De-escalation Techniques Utilized; Mechanical Restraint; Notified Security; Notified Supervisor; Physical Hold,,,
10/19/2024,ED,<N/S>,Inpatient,Physical,Tripped and taken to the ground ,<N/S>,Other,None - No emotional and/or psychological impact,<N/S>,Physical Hold,,,
10/19/2024,ED,<N/S>,Inpatient,Physical,Hit w/ Fist,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,<N/S>,Behavioral Expectations Reviewed; Chemical Restraint; De-escalation Techniques Utilized; Mechanical Restraint; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold,,,
10/19/2024,Other,<N/S>,Inpatient,Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Mechanical Restraint; Notified Supervisor; Physical Hold,,,
10/19/2024,ED,<N/S>,Outpatient,Verbal,Threat of Violence,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/20/2024,Other,<N/S>,Visitor,Written/Digital,<N/S>,<N/S>,None,<N/S>,<N/S>,<N/S>,,,
10/20/2024,ED,<N/S>,Outpatient,Verbal,Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/16/2024,Other,<N/S>,Outpatient,Verbal,Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/21/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Threat of Violence",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
10/21/2024,Other,<N/S>,Outpatient,Physical,Aggression Toward an Inanimate Object; Bitten; Grabbed; Kicked; Scratched; Slapped,<N/S>,Mild,None - No emotional and/or psychological impact,Other (please specify),De-escalation Techniques Utilized; Notified Supervisor; Physical Hold,,,
10/21/2024,SCU,<N/S>,Inpatient,Physical,Kicked,<N/S>,None,<N/S>,<N/S>,Notified Clinical Physician Resources,,,
10/21/2024,Other,Administration/Support Services,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/22/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/22/2024,Other,<N/S>,Outpatient,Verbal,unkind rudeness,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/22/2024,Other,Allied Health/Technologist,Outpatient,Verbal,"Gender / Sexist Comments; Profane, Lewd or Aggressive Language",N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/22/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/22/2024,Other,<N/S>,Inpatient,Verbal,Intimidation,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/23/2024,ED,<N/S>,Other,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/23/2024,Other,<N/S>,Outpatient,Verbal,Gender / Sexist Comments,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/21/2024,Other,<N/S>,Outpatient,Physical,Bitten; Kicked; Scratched,<N/S>,Other,None - No emotional and/or psychological impact,Other (please specify),De-escalation Techniques Utilized; Notified Supervisor; Physical Hold,,,
10/23/2024,Med/Surg/Inpatient,<N/S>,Inpatient,Physical,Grabbed; Pushed,<N/S>,None,<N/S>,<N/S>,Called Code Gray; De-escalation Techniques Utilized,,,
10/23/2024,Other,<N/S>,Outpatient,Physical,Choked,<N/S>,Other,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),De-escalation Techniques Utilized,,,
10/23/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/24/2024,ED,<N/S>,Inpatient,Physical,Pushed,<N/S>,Other,None - No emotional and/or psychological impact,ED,Physical Hold,,,
10/24/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Supervisor,,,
10/24/2024,ED,<N/S>,Inpatient,Written/Digital,Intimidation; recording RN without consent ,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/24/2024,ED,<N/S>,Inpatient,Physical,Hair Pulling,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,<N/S>,De-escalation Techniques Utilized; Notified Security,,,
10/17/2024,BC,<N/S>,Inpatient,Physical,Threat of Violence,<N/S>,Moderate,Moderate - Moderate emotional and/or psychological impact with no missed work.,ED,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Physical Hold,,,
10/25/2024,Other,Other,Inpatient,Physical,Assault w/ Bodily Fluids,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
10/25/2024,Other,<N/S>,Outpatient,Verbal,Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Clinical Physician Resources,,,
10/25/2024,ED,<N/S>,Inpatient,Physical,Hair Pulling,<N/S>,None,<N/S>,<N/S>,Chemical Restraint; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold,,,
10/25/2024,Other,<N/S>,Outpatient,Physical,Bitten,<N/S>,Moderate,None - No emotional and/or psychological impact,<N/S>,Behavioral Expectations Reviewed,,,
10/25/2024,Other,<N/S>,Outpatient,Physical,Scratched,<N/S>,Moderate,None - No emotional and/or psychological impact,<N/S>,De-escalation Techniques Utilized,,,
10/25/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/25/2024,ED,<N/S>,Inpatient,Physical,Grabbed,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Physical Hold,,,
10/25/2024,Other,<N/S>,Outpatient,Verbal,Intimidation; Stalking type behaviour; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/25/2024,BC,<N/S>,Inpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called Code Gray; De-escalation Techniques Utilized; Mechanical Restraint; Notified Clinical Physician Resources; Physical Hold,,,
10/26/2024,ED,Allied Health/Technologist,Inpatient,Physical,Hair Pulling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/26/2024,Other,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,Chemical Restraint; De-escalation Techniques Utilized; Mechanical Restraint; Notified Clinical Physician Resources; Notified Security; Physical Hold,,,
10/26/2024,ED,<N/S>,Inpatient,Physical,Choked,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Security,,,
10/26/2024,ED,<N/S>,Outpatient,Physical,Grabbed; Hair Pulling; Scratched; Slapped,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
10/27/2024,ED,"Nurse (RN, LPN, LNA)",Outpatient,Verbal,Intimidation; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Called Code Gray; De-escalation Techniques Utilized; Seclusion,,,
10/27/2024,ED,<N/S>,Inpatient,Physical,Unwelcome or Offensive Touching,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security,,,
10/27/2024,Other,"Nurse (RN, LPN, LNA)",Visitor,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/25/2024,BC,<N/S>,Inpatient,Verbal,Intimidation,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/25/2024,Other,"Nurse (RN, LPN, LNA)",Inpatient,Verbal,"Filming of staff without consent; Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor,,,
10/28/2024,Other,<N/S>,Outpatient,Written/Digital,ongoing behavior and threatening legal action,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Supervisor,,,
