Event Date,Physical Injury Incurred? Level of Care,Type of Person Affected,Occupational category of Person Impacted,Type of Violence,Primary Assault Description ,Immediate Actions (Reported),Contributing Factors (Reported),Nature of Injury,Location of Injury on Body,Emotional and/or Psychological Impact,Assault Description,Care/Service Area,Department,OSHA Recordable?,Law Enforcement Contacted,Charges Pressed
9/11/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),  ,De-escalation techniques; Physical Restraints utilized,Action by Patient/Resident,Other,left fore arm,  ,"Got scratched on left forearm by patient during restraint, scratch is approximately 2-3 inches.??",Patient Unit - Psych/Behavioral Health,Katahdin 1 North,  ,,
9/11/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),  ,Emergency Call/Code; Physical Restraints utilized; Reported to department leader,Action by Patient/Resident; Physical Environment Condition/Design; Staff - Fatigue; Staff - Insufficient Staff; Task - Inexperienced Staff; Work Envmnt - High Noise Level,Emotional Distress; Pain,"Back sore from hitting the wall / falling over bench in group room
Emotional distress from incident and then being immediately back on the floor with patients, returning to duties",  ,"Upon approaching an aggressive situation, this staff became involved with contact with a patient. Two male patients were punching each other, and then other staff were able to help patients break contact. After patients let go of each other, one of the patients charged at this staff and grabbed this staff's sweatshirt by the shoulders, shoving this staff back against a wall. Other staff were immediately nearby to help patient off of this staff.?",Patient Unit - Psych/Behavioral Health,Katahdin 2 North,  ,,
9/11/2024,No,Employee,CHARGE NURSE,Abuse/Assault (Physical),Kicking/Hitting/Beating; Throwing an Object/Breaking Object,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Altered Mental Status,  ,,  ," (RN) states that she and (CNA) were assaulted by the patient she was smacked in her arm with a patients belongings bag and (CNA) was whipped with a phone cord. No Charges, No EAP, No Medical Attention. Security clears without further incident.",Patient Unit - Cardiac Tele/Intermediate Care,Cardiac Unit - G4,  ,,
9/11/2024,No,Employee,CNA I- UNIT SECRETARY,Abuse/Assault (Physical),Kicking/Hitting/Beating; Throwing an Object/Breaking Object,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Altered Mental Status,  ,,  ,"(RN) states that she and (CNA) were assaulted by the patient she was smacked in her arm with a patients belongings bag and (CNA) was whipped with a phone cord. No Charges, No EAP, No Medical Attention. Security clears without further incident.",Patient Unit - Cardiac Tele/Intermediate Care,Cardiac Unit - G4,  ,,
9/12/2024,No,Employee,PSYCHIATRIC TECHNICIAN,Abuse/Assault (Physical),Spitting,Chemical Restraint/Medication administered; De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident; Patient - Lack of Understanding; Patient - Language Barrier,  ,,  ,"pt was getting agitated that he wasn't receiving what he wanted, once told no when trying to take my phone pt then began to spit. The patient spit in my hair but didn't reach anywhere else.",Emergency Department,Emergency Department,  ,,
9/13/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,Chemical Restraint/Medication administered; Seclusion of Patient,PNMI / Residential Placement Unavailable,  ,,  ,"Pt awake and in mileiu, engaging with staff and playing with dough and slime. Began to throw slime and dough around milieu. PT offered alternate activites indicated he wanted to play with blocks. When RN brought blocks over pt slapped rn's arm.",Emergency Department,Emergency Department,  ,,
9/13/2024,Yes,Employee,Staff Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,Chemical Restraint/Medication administered; De-escalation techniques; Safety Alert Button Activated; EAP - Offered/Employee Assistance Program Information Provided,Altered Mental Status,Pain,Lower back pain,  ,"Pt in room 672 () was not assigned to me. However, I was sitting outside of his room when he started to become agitated and aggressive with the RN that as assigned to him. She called out for help in alarm, and I ran to help her. The pt immediately grabbed my lanyard and pulled me across his bed at an awkward angle. This action twisted my back in a painful manner, I could not escape from him until my lanyard broke away. Pt then tossed my lanyard across the room. I picked it up off of the floor and at that time I became aware of the pain in my lower back. I pushed my Strongline alert to get help for us because he was becoming increasingly more violent the longer we stood at the bedside trying to prevent him from falling onto the floor. When the House Supervisor spoke to me about my back pain, she ordered me to write up this RL.?",Patient Unit - Cardiac Tele/Intermediate Care,Cardiac Unit - P6,No,,
9/14/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),  ,No Action,Action by Patient/Resident,Pain,Left side rib cage,  ,"During patient restraint employee was kicked in the left side ribs.

",Patient Unit - Psych/Behavioral Health,Katahdin 2 North,  ,,
9/14/2024,No,Employee,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),  ,Psychological evaluation/intervention requested,Patient - Lack of Understanding,  ,,  ,Pt. was getting in a peer's space and laid hands on peer. This staff member tried to put a hand in between pt and peer. Pt. then turned around and elbowed this staff member on the right shoulder.?,Patient Unit - Psych/Behavioral Health,Katahdin 2 North,  ,,
9/14/2024,Unknown,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),  ,Safety Alert Button Activated,Action by Patient/Resident,  ,,  ,"While attempting to keep an escalated patient away from peers and entering the group room, said patient elbowed me in the stomach. Prior to that, the patient had also shouldered a couple other patients.?",Patient Unit - Psych/Behavioral Health,Katahdin 2 North,  ,,
9/14/2024,Yes,Employee,RESOURCE TECHNICIAN,Abuse/Assault (Physical),  ,No Action,Action by Patient/Resident,Other,Above right ankle?,  ,While participating in a restraint this writer was kicked in the right leg above the ankle?,Patient Unit - Psych/Behavioral Health,Katahdin 2 North,  ,,
9/14/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Biting,No Action,Action by Patient/Resident; Agitated; Staff - Insufficient Staff,  ,"Left forearm / bruise
No broken skin",  ,"Patient was escalated and attempted to enter group room, Staff intervened and as a result of this patient bit staff.?",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
9/14/2024,No,Employee,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),  ,No Action,Action by Patient/Resident,  ,,  ,Patient was escalated and punched nursing in the back/right kidney,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
9/14/2024,Unknown,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),  ,Physical Restraints utilized; Seclusion of Patient,Staff - Insufficient Staff,  ,,  ,Patient was placed in child's hold due to being very dysregulated and assaulting staff and peers. Patient was in standing child's hold and due to minimal staff patient repeatedly kicked staff in the chins until more staff arrived.,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
9/14/2024,No,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),  ,No Action,Altered Mental Status; Patient - Lack of Compliance/Adherence,  ,,  ,Pt was observed to get angry and punch me in the chest.?,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
9/15/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),  ,Physical Restraints utilized,Action by Patient/Resident,Pain,Forehead,  ,While doing a restraint the patient leaned forward and headbutted staff in the forehead.,Patient Unit - Psych/Behavioral Health,Katahdin 2 North,  ,,
9/16/2024,No,"Affiliate (contracted staff, student)",Registered Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided; Reported to department leader,Altered Mental Status,  ,,  ,"Nurse attempted to administer morning medications.? Pt hit nurse in the arm.? No injury noted.?

Employee declined need for medical attention, declined EAP and declined wanting to press charges. 
",Patient Unit - Cardiac Tele/Intermediate Care,Cardiac Unit - G4,  ,,
9/16/2024,No,"Affiliate (contracted staff, student)",Registered Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,Chemical Restraint/Medication administered; De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided; Physical Restraints utilized; Reported to department leader,Altered Mental Status,  ,,  ,"Pt. awoke confused and was trying to get OOB. When staff tried to redirect her she became angry and hit them on the arms. Two staff members were assaulted. Pt. was given IV medications and a placed in a posey vest for her safety. 

Employees declined need for medical attention, declined EAP and declined wanting to press charges. 
",Patient Unit - Cardiac Tele/Intermediate Care,Cardiac Unit - G4,  ,,
9/16/2024,No,"Affiliate (contracted staff, student)",Nursing Assistant,Abuse/Assault (Physical),Kicking/Hitting/Beating,Chemical Restraint/Medication administered; De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided; Reported to department leader,Altered Mental Status,  ,,  ,"Pt. awoke confused and was trying to get OOB. When staff tried to redirect her she became angry and hit them on the arms. Two staff members were assaulted. Pt. was given IV medications and a placed in a posey vest for her safety. 

Employees declined need for medical attention, declined EAP and declined wanting to press charges. 
",Patient Unit - Cardiac Tele/Intermediate Care,Cardiac Unit - G4,  ,,
9/16/2024,No,Employee,CNA I- UNIT SECRETARY,Abuse/Assault (Physical),Kicking/Hitting/Beating,Law Enforcement involved/notified; EAP - Offered/Employee Assistance Program Information Provided; Formal complaint filed with law enforcement,Agitated,  ,,  ,patient was in trauma one was told he was going to be moved to the dea because he was becoming agitated and that he would need a psych eval patient was walking to that area when he tried to enter the CT scan room where the door was closed one of the security officers then stopped him from entering the door i then took him by the right arm and started to escort him to the dea in the process of escorting him in the dea he punched me in the right side of my neck with his left fist in the sallyport area he then was escorted the rest of the way into the dea. the bangor police department was notified and charges are going to be pressed? ?,Emergency Department,Emergency Department,  ,Yes,9/16/2024
9/16/2024,Yes,"Affiliate (contracted staff, student)",Registered Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Altered Mental Status; Patient - Lack of Compliance/Adherence,Emotional Distress; Pain,Lower abdomen?,  ,"The Primary RN and primary CNA were responding to a bed alarm in the room. When Primary RN arrived, pt was out of bed, all telemetry off and gown off. RN and CNA then attempted to help the patient put the tele and gown back on, when patient raised his leg and kicked the primary RN in the lower stomach. RN then exited the room and notified the charge RN. Charge RN then notified house supervisor and security.?",Patient Unit - Cardiac Tele/Intermediate Care,Cardiac Unit - P6,No,,
9/16/2024,Yes,Employee,ASST MGR- NURSING,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,No Action; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident; Agitated,Abrasion,left wrist,  ,"This RN had her left wrist scratched (breaking skin and caused slight bleeding) during physical hold. I washed affected area with soap and water, no need for EAP, no injury, no need to be seen medically, and I do not wish to press charges.?",Emergency Department,Emergency Department,No,,
9/17/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),  ,Physical Restraints utilized,Altered Mental Status,Bite - Human,right hand?,  ,scratched by patient braces while avoiding a bite?,Patient Unit - Psych/Behavioral Health,Katahdin 1 North,  ,,
9/17/2024,Yes,Employee,LOGISTIC TRANSPORT SPECIALIST,Abuse/Assault (Verbal),Harassment,EAP - Offered/Employee Assistance Program Information Provided; Reported to department leader,Patient - Lack of Compliance/Adherence,Emotional Distress,I experienced emotional distress during this transport. It made me highly anxious.,  ,"I am a transporter, and I was picking up a patient in KPO3 to take to the vascular lab. When I arrived, the nurse said he was all ready and as I was preparing the stretcher I grabbed his pillow from his room as we usually do to make the patient more comfortable during transport. He attempted to corner me in his room and said something along the lines of, ""What the fuck are you doing with my pillow. You bitch! Don't take my stuff, put that back NOW!"". I explained that I was just trying to make him comfortable and put the pillow back on his bed. I asked if he would like a blanket for transport and he screamed ""fuck no!"". Once we left KPO3 he became agitated and asked me to stop adjusting the stretcher (as in switching from neutral to break, etc.). I explained that I unfortunately need to be able to move the stretcher in different settings to ensure a safe transport. Leaving KPO3 there are hills in the hallway, so I warned him every time I adjusted the petal (ex. you have to break on the hill to open the door) and he'd say, ""fuck you"". When we entered the elevator, the patient started screaming about a poster that said, ""are you feeling overwhelmed? "", The patient said, ""I'm gonna take that fucking shit down, fuck that"". He proceeded to try to get off the stretcher, but didn't have enough room so he sat back down and attempted to rip down the poster from the stretcher. When we reached the 2nd floor, I quickly exited the elevator, so I was not in an enclosed space alone with the patient. The patient kept complaining that it was ""too hot in here"" or ""too cold"" and I said, ""I'm sorry"" and he said, ""oh so this is fucking your fault, fuck you"". When we arrived at the vascular lab, I left him in the designated patient area and notified the secretary that the patient is unpredictable and verbally aggressive. I then immediately went to the materials unit to report the incident to my charge and supervisor. I considered hitting my strong line alert during transport as I felt unsafe. I am a new employee and wasn't sure where the line was in regard to whether to hit it or not. I then immediately began writing this incident report. This transport felt highly unsafe, I received no information from the nurse that would indicate that the patient was aggressive.? I believe this patient should be transported with security present.?",Patient Unit - Medical/Surgical,Medical Surgical Unit - KPO3,No,,
9/18/2024,Unknown,Employee,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),  ,Physical Restraints utilized,Action by Patient/Resident; Patient - Lack of Understanding,  ,,  ,Pt. hit this staff member in the stomach outside of their bedroom when this staff member was trying to talk with pt. due to pt. upset about meeting that happened prior to this incident. Pt. threatened this staff member just before the pt. hit this staff member. Staff member did create space between themselves and the pt. before this incident occurred.?,Patient Unit - Psych/Behavioral Health,Katahdin 2 North,  ,,
9/18/2024,No,Employee,PSYCHIATRIC TECHNICIAN I,Sexual Contact,  ,De-escalation techniques; Emergency Call/Code; Reported to department leader,Action by Patient/Resident; Patient - Lack of Compliance/Adherence,  ,,  ,"Patient was disruptive in the group room and was asked to leave. Staff member walked ahead of the patient to open the door. When the patient ran around the staff member, he reached back and briefly touched her genitals before running ahead. Patient care director got a statement from the staff member indicating she believed the sexual assault to be purposeful based on the sexual comments and winking at her the previous day while she was his 1:1 staff.?",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
9/18/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Pushing/Shoving; Spitting; Throwing an Object/Breaking Object,EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident; Patient - Lack of Understanding; PNMI / Residential Placement Unavailable; Psychiatric Bed Unavailable,  ,,  ,"Patient grabbed the Nurse by the shirt collar and pulls them backward in the room. Patient had thrown food at RN, indirectly threw a book that hit RN in the head, spit on RN, and body checked RN.",Emergency Department,Emergency Department,  ,,
9/18/2024,No,Employee,PSYCHIATRIC TECHNICIAN,Abuse/Assault (Physical),Pushing/Shoving,EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident; Patient - Lack of Understanding; PNMI / Residential Placement Unavailable; Psychiatric Bed Unavailable,  ,,  ,Patient rushed at psych tech and shoved the psych tech into the DEA common Area Dividing door.?,Emergency Department,Emergency Department,  ,,
9/18/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Pushing/Shoving,Seclusion of Patient,Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding; Patient - Language Barrier,  ,,  ,RN on patient side of milieu with security. Patient became agitated and attempted to lunge at security. patient then went after this RN and two hand shoved into half wall. no evident injuries at this time to staff,Emergency Department,Emergency Department,  ,,
9/18/2024,Yes,Employee,Staff Nurse,Abuse/Assault (Physical),Spitting,EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident; Patient - Lack of Understanding; PNMI / Residential Placement Unavailable; Psychiatric Bed Unavailable,Exposure - Body Fluids,face,  ,"Patient?stuck their head through the DEA Nurse Station Plexi Wall hole & spit on the side of nurse's face.??
",Emergency Department,Emergency Department,No,,
9/19/2024,Yes,Employee,Staff Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,Reported to department leader; Seclusion of Patient,Abandoned by Guardian; Action by Patient/Resident; Psychiatric Bed Unavailable,Laceration/Cut/Tear,several scratches to neck and right lip,  ,"patient attempted to elope from pediatric milieu into adult milieu and was blocked from going through the door, or any further.? Pt grabbed this RN and scratched down neck and grabbed ahold of collar of T-shirt and ripped off employee badge.?",Emergency Department,Emergency Department,No,,
9/20/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,No Action,Action by Patient/Resident,Other,right lower quadrant of abdomen.,  ,Staff was kicked in lower right quadrant abdomen during restraint. Went to walk in care.?,Patient Unit - Psych/Behavioral Health,Katahdin 2 North,No,,
9/22/2024,No,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,Physical Restraints utilized; Seclusion of Patient,Altered Mental Status,  ,,  ,"got kicked4-5 times, blocked with shoulder. kicked in left jaw once in seclusion anti room .?


",Patient Unit - Psych/Behavioral Health,Katahdin 2 North,  ,,
9/23/2024,Yes,Employee,INPATIENT COORDINATOR,Abuse/Assault (Physical),Kicking/Hitting/Beating,Referred to Employee Health,Action by Patient/Resident; Agitated; Patient - Lack of Compliance/Adherence,Head Injury; Swelling,,  ,"Pt punched me directly in the jaw, when going to grab arms for a restraint.?",Patient Unit - Psych/Behavioral Health,Katahdin 2 North,No,,
9/24/2024,No,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),  ,De-escalation techniques,Action by Patient/Resident,  ,,  ,In afternoon while staff was on checks a patient went up to checks staff and started to head but staff in leg. Pt. was redirected and staff got down at pt. level to explain why we don't do this. Shortly after pt. grabbed staff's wrist with both hands and gripped staff wrist hard pulling staff on their knees leaving handprints,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
9/24/2024,No,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),  ,Emergency Call/Code; Physical Restraints utilized; Safety Alert Button Activated,Staff - Insufficient Staff,  ,,  ,"In the evening during movie pt. came up to staff on checks and asked to go off unit. Pt. then started to get escalated at staff and staff told pt. that is not how we talk to staff, and pt. then tried hitting staff and staff backed up. Pt. then ran up to staff and punched staff multiple times in stomach and arm. Staff that was assaulted was the only staff on unit during the assault, this staff was also on checks.",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
9/24/2024,Yes,Employee,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; Emergency Call/Code,Action by Patient/Resident,Pain,pain/ swelling in right hand and right pointer finger,  ,nurse was sitting down at a table across from patient. Patient slammed their hand down ontop of nurses hand.,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,Yes,, 
9/24/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,Safety Alert Button Activated; EAP - Offered/Employee Assistance Program Information Provided,Resource (Foster) Home Placement Unavailable,  ,,  ,"Pt crying out for nurse due to L knee pain. RN assessed knee again, no changes now as in the assessment prior. RN offered PRN acetaminophen again, pt refused and stated ""It never works. No I will not take it."" Pt continued crying and complaining of pain. RN went to get pt's regular nightly meds. Pt stated she did not want nightly melatonin, but did want her prazosin. RN prepared prazosin and pt hit medications out of RNs hands. RN retrieved medications and asked if she wanted to take these. Pt stated ""yes, only the prazosin"". RN showed pt medication label to ensure that was the correct medication. Pt hit pills out of RNs hand again and yelled no. Pt then punched RN in right flank area and raised a fist to DHHS worker's head. RN tried to deescalate pt. Pt began punching herself in head. Strong line activated. Pt continued punching herself in head and raising fists at staff while swearing and calling staff names. Pt educated that this is inappropriate behavior and that she is not being safe to self or others. Pt agreed to take medications and calm herself down. Security and staff left room and pt did some deep breathing ",Emergency Department,Emergency Department,  ,,
9/24/2024,No,Employee,CNA I- UNIT SECRETARY,Abuse/Assault (Physical),Kicking/Hitting/Beating,Patient Behavior Safety Flag/Care Plan initiated; Seclusion of Patient; EAP - Offered/Employee Assistance Program Information Provided,Altered Mental Status,  ,,  ,"Pt was getting very upset he wanted to go for a walk. He tried running through the doors to the hallway. I had to block the door, patient got upset because I would not let him through the door and started screaming and, throwing a fit. And came towards me screaming and punched me in the shoulder.?",Emergency Department,Emergency Department,  ,,
9/25/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,Referred to Employee Health; Treatment Provided,Action by Patient/Resident,Bruise/Contusion,Right Eye,  ,Patient reported to have been sitting next to staff member and randomly punched him in the right eye.?,Patient Unit - Psych/Behavioral Health,Katahdin 1 North,No,,
9/25/2024,No,Employee,PSYCHIATRIC TECHNICIAN,Abuse/Assault (Physical),Throwing an Object/Breaking Object,De-escalation techniques; Seclusion of Patient,Action by Patient/Resident,  ,,  ,"Patient was getting worked up and kicking the wall I heard her sitter ask her to stop she continued to kick the wall I asked her to stop, and she stared to kick the table, I asked if we could move the bed into the middle of the room, she started to get angry, and the sitter stepped out I called a nurse over and we stepped into the room and the pt got agitated and picked up a cup and threw it at the nurse. The pt started to swear at her we started to pick up things in her room so they couldn't be thrown and she threw another cup at me we stepped out of the room and more people came to help with the situation the pt threw a juice cup at us so she was walked to seclusion in 33.",Emergency Department,Emergency Department,  ,,
9/27/2024,No,Employee,PHYSICAL THERAPIST I,Abuse/Assault (Verbal),Harassment,Formal complaint filed with law enforcement,Altered Mental Status,  ,,  ,"Three employees entering HAMMOND ST NL outpatient rehabilitation were yelled at by a member of the public who got out of his truck and then urinated in front of us.? Bangor PD was called, person had apparently been in our parking lot overnight urinating and defecating on the lawn.? Truck was towed and person was 'moved along' by PD
A separate therapist and her minor patient apparently had also seen the same individual urinating from the PT gym window the evening before.?",Therapies (PT/OT/Speech),Physical Therapy - Union St,  ,Yes,9/27/2024
9/28/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,Law Enforcement involved/notified; Physical Restraints utilized; Reported to department leader; Seclusion of Patient,Action by Patient/Resident,  ,,  ,"this RN asked the patient to not lie down on the milieu floor.  This RN instructed her that she needed to get into a chair.  this RN told the pt that she had two minutes to get into the chair and patient said, ""or what."" This RN replied with ""we will have a conversation."" This RN stepped gave the patient the opportunity to get up from the floor and sit in a chair. The patient decided not to get off the floor. This RN informed the patient is not to get into the chair this RN was going to take her pillow and blanket and move it to the chair.  The patient fought with this RN over a pillow, which this RN decided to take the blanket at that time.  This RN went back to the pillow to take it from the patient.  At that time patient struck this in RN in the jaw.  This RN was able to step back and take the pillow from the pt.  This RN left the milieu to get the provider.  This RN was called back as the patient had further assaulted another staff member.  Pt was put in a physical hold and moved to room 33 and put on seclusion.",Emergency Department,Emergency Department,  ,,
9/28/2024,Yes,"Affiliate (contracted staff, student)",Security Guard,Abuse/Assault (Physical),Pushing/Shoving,Admitted to Hospital; Formal complaint filed with law enforcement; Law Enforcement involved/notified,Patient - Lack of Compliance/Adherence,Other,broken right hip,  ,Patient physically assaulted Securitas employee this am which resulted in a broken hip and will require surgical intervention including a hip replacement per the ER MD.?,Emergency Department,Emergency Department,No,Yes,9/28/2024
9/29/2024,No,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,Unknown,Action by Patient/Resident; Staff - Insufficient Staff,  ,,  ,pt punched me in the face during escalation,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
10/1/2024,No,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,Safety Alert Button Activated,Patient - Lack of Compliance/Adherence,  ,,  ,attempted to remove patients hands from throat patient then punched me in the leg?,Patient Unit - Psych/Behavioral Health,Katahdin 1 South,  ,,
10/1/2024,Yes,Employee,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),  ,Physical Restraints utilized; Safety Alert Button Activated,Action by Patient/Resident,Pain,Nose and head,  ,Patient assaulted this writer AEB punching in the face and head multiple times.?,Patient Unit - Psych/Behavioral Health,Katahdin 2 North,  ,,
10/1/2024,No,Employee,INPATIENT COORDINATOR,Abuse/Assault (Physical),Kicking/Hitting/Beating,Physical Restraints utilized,Action by Patient/Resident,  ,,  ,Was kicked in the knee by a patient while in a restraint while using the restraint chair. Knee has some pain right now and some discomfort.,Patient Unit - Psych/Behavioral Health,Katahdin 2 North,  ,,
10/1/2024,No,"Affiliate (contracted staff, student)",Nursing Assistant,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; Reported to department leader; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident; Altered Mental Status; Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding,  ,,  ,"Was walking with pt because he refused to go back in his room.? He was going out the secured unit, so I tried to redirect him to his room. He got very angry began to cuss and proceed to use his forearm to hit me in the face and push me back.? The arm that was used was the arm with two Iv's and cobrand around it. His nurse heard me inform pt he could not hit, and she came to assist we were able to get pt back in the unit and closer to nursing station.? I was not injured and did not want to press charges.",Patient Unit - Cardiac Tele/Intermediate Care,Cardiac Unit - G4,  ,,
10/2/2024,Unknown,Employee,CNA I- UNIT SECRETARY,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull; Kicking/Hitting/Beating,EAP - Offered/Employee Assistance Program Information Provided,Agitated; Mental Status/Capacity,  ,,  ,"Changed patient in ER rm 26 and patient became combative and grabbed this writter's wrist, finger and bent back to almost breaking, punched multiple times in the ribs, chest, and stomach.?",Emergency Department,Emergency Department,  ,,
10/2/2024,No,Employee,Staff Nurse,Abuse/Assault (Verbal),Posturing,No Action,Action by Patient/Resident,  ,,  ,"Pt here for procedure and this nurse? was attemping to get pt ready.? He was refusing and questioning everything that was asked of him to do to prep for procedure, such as remove clothing, wear hospital slippers, answer questions.? When this nurse returned to room for second time to continue getting pt ready he proceeded to refuse? things and continued to be uncooperative.? When i asked him questions he yelled at me and said he was deaf in one ear and hard of hearing in the other? so i spoke louder and at? that point he was screaming at me and doubled his fist up and shook in my face.? i exited the room. informed charge nurse at this point",Cardiac/Vascular Procedures & Diagnostics,Interventional Services,  ,,
10/3/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Biting,Safety Alert Button Activated; Seclusion of Patient,Action by Patient/Resident; Patient - Lack of Compliance/Adherence,Bite - Human; Bruise/Contusion,Left and right hands?,  ,Received a bite while in restraint,Patient Unit - Psych/Behavioral Health,Katahdin 2 North,No,,
10/4/2024,Unknown,Employee,SUPV- NURSING RN,Abuse/Assault (Physical),Kicking/Hitting/Beating; Posturing,EAP Offered; Reinstruction of Staff,Action by Patient/Resident; Cognitive Impairment; Confused/Disoriented; Current Diagnosis/Condition; Inability to Understand; Mental Status/Capacity; Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding; Staff - Fatigue; Work Envmnt - Poor Air Quality,  ,,  ,"Patient was at the nurse's station asking for his inhaler. He reported that he wanted to ""puff puff puff so it will pull all the demons out of me"". He was informed that he had used his inhaler already with his evening medications and would be able to use it again in about 3 more hours. He appeared to be responding to internal stimuli and was talking to someone to his right while intermittently holding his hands together and praying with his hands clasped. He was encouraged to wait in his room. He declined and approached the nurse's station while posturing towards staff. Again, staff attempted to redirect him verbally at which point he walked up to the nurse's station and punched this writer in the left side of their mouth with his right hand. Immediately he said, ""Only one time, I'm sorry, I'm sorry."" He was redirectable to his room where he was instructed to wait and would be brought his psychiatric emergency medications. He agreed, and when they were brought to him, he apologized to staff, reported he didn't want to hurt anyone, and took the psychiatric emergency medications by mouth.",Patient Unit - Psych/Behavioral Health,Cadillac 2 North,  ,,
10/4/2024,No,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),  ,De-escalation techniques,Action by Patient/Resident,  ,,  ,patient punched me when i told her she couldn't block her door with her chair and mattress,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
10/4/2024,No,Employee,REGISTERED NURSE I,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Altered Mental Status,  ,,  ,"From Safety/Security RL 36439:
At approximately 1130 prior to security arrival (RN,ICU) was attempting to assist the patient in the room when the patient kicks the (RN) in the chest with both feet. (RN) denies pressing charges and denies both EAP and medical attention. (Charge) states that the patient does not have the mental capacity to be aware of his actions. At approximately 1203 Security clears the unit. 
",Patient Unit - Intensive/Critical Care,Intensive Care Unit,  ,,
