Event Date,Facility Type,Department/Office Incident Took Place,Occupational Category of Person Affected,Aggressor,Type of Violence,Primary Contributing Factors,Severity of Assault,Primary Assault Description,Assault Description,Emotional and/ or Psychological Impact,Level of Care Needed,Response Action Taken,Split Roles,General Role,General Violence_Category,General Location,General Advanced Location,General Severity Category,General Severity Numerical,General Emotional Numerical
9/16/2024,Other,Emergency Department,ASST MGR- NURSING,,Abuse/Assault (Physical),Action by Patient/Resident; Agitated,Mild,Grabbing/Pinching/Scratching/Hair Pull,"This RN had her left wrist scratched (breaking skin and caused slight bleeding) during physical hold. I washed affected area with soap and water, no need for EAP, no injury, no need to be seen medically, and I do not wish to press charges.?",,Urgent Care,No Action; EAP - Offered/Employee Assistance Program Information Provided,ASST MGR- NURSING,Admin/Management,Physical Violence,ED/ER,Clinical Unit,Mild,1.0,
9/17/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Altered Mental Status,Severe,  ,scratched by patient braces while avoiding a bite?,,ED,Physical Restraints utilized,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
9/17/2024,Other,Patient Unit - Medical/Surgical,LOGISTIC TRANSPORT SPECIALIST,,Abuse/Assault (Verbal),Patient - Lack of Compliance/Adherence,Mild,Harassment,"I am a transporter, and I was picking up a patient in KPO3 to take to the vascular lab. When I arrived, the nurse said he was all ready and as I was preparing the stretcher I grabbed his pillow from his room as we usually do to make the patient more comfortable during transport. He attempted to corner me in his room and said something along the lines of, ""What the fuck are you doing with my pillow. You bitch! Don't take my stuff, put that back NOW!"". I explained that I was just trying to make him comfortable and put the pillow back on his bed. I asked if he would like a blanket for transport and he screamed ""fuck no!"". Once we left KPO3 he became agitated and asked me to stop adjusting the stretcher (as in switching from neutral to break, etc.). I explained that I unfortunately need to be able to move the stretcher in different settings to ensure a safe transport. Leaving KPO3 there are hills in the hallway, so I warned him every time I adjusted the petal (ex. you have to break on the hill to open the door) and he'd say, ""fuck you"". When we entered the elevator, the patient started screaming about a poster that said, ""are you feeling overwhelmed? "", The patient said, ""I'm gonna take that fucking shit down, fuck that"". He proceeded to try to get off the stretcher, but didn't have enough room so he sat back down and attempted to rip down the poster from the stretcher. When we reached the 2nd floor, I quickly exited the elevator, so I was not in an enclosed space alone with the patient. The patient kept complaining that it was ""too hot in here"" or ""too cold"" and I said, ""I'm sorry"" and he said, ""oh so this is fucking your fault, fuck you"". When we arrived at the vascular lab, I left him in the designated patient area and notified the secretary that the patient is unpredictable and verbally aggressive. I then immediately went to the materials unit to report the incident to my charge and supervisor. I considered hitting my strong line alert during transport as I felt unsafe. I am a new employee and wasn't sure where the line was in regard to whether to hit it or not. I then immediately began writing this incident report. This transport felt highly unsafe, I received no information from the nurse that would indicate that the patient was aggressive.? I believe this patient should be transported with security present.?",,Urgent Care,EAP - Offered/Employee Assistance Program Information Provided; Reported to department leader,LOGISTIC TRANSPORT SPECIALIST,Other,Verbal Abuse,ED/ER,Clinical Unit,Mild,1.0,
9/18/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident; Patient - Lack of Understanding,,  ,Pt. hit this staff member in the stomach outside of their bedroom when this staff member was trying to talk with pt. due to pt. upset about meeting that happened prior to this incident. Pt. threatened this staff member just before the pt. hit this staff member. Staff member did create space between themselves and the pt. before this incident occurred.?,,,Physical Restraints utilized,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Unknown,,
9/18/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Sexual Contact,Action by Patient/Resident; Patient - Lack of Compliance/Adherence,,  ,"Patient was disruptive in the group room and was asked to leave. Staff member walked ahead of the patient to open the door. When the patient ran around the staff member, he reached back and briefly touched her genitals before running ahead. Patient care director got a statement from the staff member indicating she believed the sexual assault to be purposeful based on the sexual comments and winking at her the previous day while she was his 1:1 staff.?",,,De-escalation techniques; Emergency Call/Code; Reported to department leader,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Sexual Violence,BC,Clinical Unit,Unknown,,
9/18/2024,Med/Surg/Inpatient,Emergency Department,Staff Nurse,,Abuse/Assault (Physical),Action by Patient/Resident; Patient - Lack of Understanding; PNMI / Residential Placement Unavailable; Psychiatric Bed Unavailable,,Pushing/Shoving; Spitting; Throwing an Object/Breaking Object,"Patient grabbed the Nurse by the shirt collar and pulls them backward in the room. Patient had thrown food at RN, indirectly threw a book that hit RN in the head, spit on RN, and body checked RN.",,,EAP - Offered/Employee Assistance Program Information Provided,Staff Nurse,Nurse,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Unknown,,
9/18/2024,BC,Emergency Department,PSYCHIATRIC TECHNICIAN,,Abuse/Assault (Physical),Action by Patient/Resident; Patient - Lack of Understanding; PNMI / Residential Placement Unavailable; Psychiatric Bed Unavailable,,Pushing/Shoving,Patient rushed at psych tech and shoved the psych tech into the DEA common Area Dividing door.?,,,EAP - Offered/Employee Assistance Program Information Provided,PSYCHIATRIC TECHNICIAN,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
9/18/2024,Med/Surg/Inpatient,Emergency Department,Staff Nurse,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding; Patient - Language Barrier,,Pushing/Shoving,RN on patient side of milieu with security. Patient became agitated and attempted to lunge at security. patient then went after this RN and two hand shoved into half wall. no evident injuries at this time to staff,,,Seclusion of Patient,Staff Nurse,Nurse,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Unknown,,
9/18/2024,Med/Surg/Inpatient,Emergency Department,Staff Nurse,,Abuse/Assault (Physical),Action by Patient/Resident; Patient - Lack of Understanding; PNMI / Residential Placement Unavailable; Psychiatric Bed Unavailable,Severe,Spitting,"Patient?stuck their head through the DEA Nurse Station Plexi Wall hole & spit on the side of nurse's face.??
",,ED,EAP - Offered/Employee Assistance Program Information Provided,Staff Nurse,Nurse,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Severe,3.0,
9/19/2024,Med/Surg/Inpatient,Emergency Department,Staff Nurse,,Abuse/Assault (Physical),Abandoned by Guardian; Action by Patient/Resident; Psychiatric Bed Unavailable,Severe,Grabbing/Pinching/Scratching/Hair Pull,"patient attempted to elope from pediatric milieu into adult milieu and was blocked from going through the door, or any further.? Pt grabbed this RN and scratched down neck and grabbed ahold of collar of T-shirt and ripped off employee badge.?",,ED,Reported to department leader; Seclusion of Patient,Staff Nurse,Nurse,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Severe,3.0,
9/20/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,Kicking/Hitting/Beating,Staff was kicked in lower right quadrant abdomen during restraint. Went to walk in care.?,,ED,No Action,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
9/22/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Altered Mental Status,,Kicking/Hitting/Beating,"got kicked4-5 times, blocked with shoulder. kicked in left jaw once in seclusion anti room .?


",,,Physical Restraints utilized; Seclusion of Patient,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
9/23/2024,Other,Patient Unit - Psych/Behavioral Health,INPATIENT COORDINATOR,,Abuse/Assault (Physical),Action by Patient/Resident; Agitated; Patient - Lack of Compliance/Adherence,Severe,Kicking/Hitting/Beating,"Pt punched me directly in the jaw, when going to grab arms for a restraint.?",,ED,Referred to Employee Health,INPATIENT COORDINATOR,Nurse,Physical Violence,Behavioral Health Unit,Clinical Unit,Severe,3.0,
9/24/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,,  ,In afternoon while staff was on checks a patient went up to checks staff and started to head but staff in leg. Pt. was redirected and staff got down at pt. level to explain why we don't do this. Shortly after pt. grabbed staff's wrist with both hands and gripped staff wrist hard pulling staff on their knees leaving handprints,,,De-escalation techniques,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
9/24/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Staff - Insufficient Staff,,  ,"In the evening during movie pt. came up to staff on checks and asked to go off unit. Pt. then started to get escalated at staff and staff told pt. that is not how we talk to staff, and pt. then tried hitting staff and staff backed up. Pt. then ran up to staff and punched staff multiple times in stomach and arm. Staff that was assaulted was the only staff on unit during the assault, this staff was also on checks.",,,Emergency Call/Code; Physical Restraints utilized; Safety Alert Button Activated,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
9/24/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident,Mild,Kicking/Hitting/Beating,nurse was sitting down at a table across from patient. Patient slammed their hand down ontop of nurses hand.,,Urgent Care,De-escalation techniques; Emergency Call/Code,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Mild,1.0,
9/24/2024,Med/Surg/Inpatient,Emergency Department,Staff Nurse,,Abuse/Assault (Physical),Resource (Foster) Home Placement Unavailable,,Kicking/Hitting/Beating,"Pt crying out for nurse due to L knee pain. RN assessed knee again, no changes now as in the assessment prior. RN offered PRN acetaminophen again, pt refused and stated ""It never works. No I will not take it."" Pt continued crying and complaining of pain. RN went to get pt's regular nightly meds. Pt stated she did not want nightly melatonin, but did want her prazosin. RN prepared prazosin and pt hit medications out of RNs hands. RN retrieved medications and asked if she wanted to take these. Pt stated ""yes, only the prazosin"". RN showed pt medication label to ensure that was the correct medication. Pt hit pills out of RNs hand again and yelled no. Pt then punched RN in right flank area and raised a fist to DHHS worker's head. RN tried to deescalate pt. Pt began punching herself in head. Strong line activated. Pt continued punching herself in head and raising fists at staff while swearing and calling staff names. Pt educated that this is inappropriate behavior and that she is not being safe to self or others. Pt agreed to take medications and calm herself down. Security and staff left room and pt did some deep breathing ",,,Safety Alert Button Activated; EAP - Offered/Employee Assistance Program Information Provided,Staff Nurse,Nurse,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Unknown,,
9/24/2024,Med/Surg/Inpatient,Emergency Department,CNA I- UNIT SECRETARY,,Abuse/Assault (Physical),Altered Mental Status,,Kicking/Hitting/Beating,"Pt was getting very upset he wanted to go for a walk. He tried running through the doors to the hallway. I had to block the door, patient got upset because I would not let him through the door and started screaming and, throwing a fit. And came towards me screaming and punched me in the shoulder.?",,,Patient Behavior Safety Flag/Care Plan initiated; Seclusion of Patient; EAP - Offered/Employee Assistance Program Information Provided,CNA I- UNIT SECRETARY,Nursing Assistant,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Unknown,,
9/25/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,Kicking/Hitting/Beating,Patient reported to have been sitting next to staff member and randomly punched him in the right eye.?,,ED,Referred to Employee Health; Treatment Provided,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
9/25/2024,BC,Emergency Department,PSYCHIATRIC TECHNICIAN,,Abuse/Assault (Physical),Action by Patient/Resident,,Throwing an Object/Breaking Object,"Patient was getting worked up and kicking the wall I heard her sitter ask her to stop she continued to kick the wall I asked her to stop, and she stared to kick the table, I asked if we could move the bed into the middle of the room, she started to get angry, and the sitter stepped out I called a nurse over and we stepped into the room and the pt got agitated and picked up a cup and threw it at the nurse. The pt started to swear at her we started to pick up things in her room so they couldn't be thrown and she threw another cup at me we stepped out of the room and more people came to help with the situation the pt threw a juice cup at us so she was walked to seclusion in 33.",,,De-escalation techniques; Seclusion of Patient,PSYCHIATRIC TECHNICIAN,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
9/27/2024,Med/Surg/Inpatient,Therapies (PT/OT/Speech),PHYSICAL THERAPIST I,,Abuse/Assault (Verbal),Altered Mental Status,,Harassment,"Three employees entering HAMMOND ST NL outpatient rehabilitation were yelled at by a member of the public who got out of his truck and then urinated in front of us.? Bangor PD was called, person had apparently been in our parking lot overnight urinating and defecating on the lawn.? Truck was towed and person was 'moved along' by PD
A separate therapist and her minor patient apparently had also seen the same individual urinating from the PT gym window the evening before.?",,,Formal complaint filed with law enforcement,PHYSICAL THERAPIST I,Therapist,Verbal Abuse,Med/Surg/Inpatient,Clinical Unit,Unknown,,
9/28/2024,Med/Surg/Inpatient,Emergency Department,Staff Nurse,,Abuse/Assault (Physical),Action by Patient/Resident,,Kicking/Hitting/Beating,"this RN asked the patient to not lie down on the milieu floor.  This RN instructed her that she needed to get into a chair.  this RN told the pt that she had two minutes to get into the chair and patient said, ""or what."" This RN replied with ""we will have a conversation."" This RN stepped gave the patient the opportunity to get up from the floor and sit in a chair. The patient decided not to get off the floor. This RN informed the patient is not to get into the chair this RN was going to take her pillow and blanket and move it to the chair.  The patient fought with this RN over a pillow, which this RN decided to take the blanket at that time.  This RN went back to the pillow to take it from the patient.  At that time patient struck this in RN in the jaw.  This RN was able to step back and take the pillow from the pt.  This RN left the milieu to get the provider.  This RN was called back as the patient had further assaulted another staff member.  Pt was put in a physical hold and moved to room 33 and put on seclusion.",,,Law Enforcement involved/notified; Physical Restraints utilized; Reported to department leader; Seclusion of Patient,Staff Nurse,Nurse,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Unknown,,
9/28/2024,Other,Emergency Department,Security Guard,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence,Severe,Pushing/Shoving,Patient physically assaulted Securitas employee this am which resulted in a broken hip and will require surgical intervention including a hip replacement per the ER MD.?,,ED,Admitted to Hospital; Formal complaint filed with law enforcement; Law Enforcement involved/notified,Security Guard,Security,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
9/29/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident; Staff - Insufficient Staff,,Kicking/Hitting/Beating,pt punched me in the face during escalation,,,Unknown,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
10/1/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence,,Kicking/Hitting/Beating,attempted to remove patients hands from throat patient then punched me in the leg?,,,Safety Alert Button Activated,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
10/1/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,  ,Patient assaulted this writer AEB punching in the face and head multiple times.?,,ED,Physical Restraints utilized; Safety Alert Button Activated,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
10/1/2024,Other,Patient Unit - Psych/Behavioral Health,INPATIENT COORDINATOR,,Abuse/Assault (Physical),Action by Patient/Resident,,Kicking/Hitting/Beating,Was kicked in the knee by a patient while in a restraint while using the restraint chair. Knee has some pain right now and some discomfort.,,,Physical Restraints utilized,INPATIENT COORDINATOR,Nurse,Physical Violence,Behavioral Health Unit,Clinical Unit,Unknown,,
10/1/2024,Med/Surg/Inpatient,Patient Unit - Cardiac Tele/Intermediate Care,Nursing Assistant,,Abuse/Assault (Physical),Action by Patient/Resident; Altered Mental Status; Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding,,Kicking/Hitting/Beating,"Was walking with pt because he refused to go back in his room.? He was going out the secured unit, so I tried to redirect him to his room. He got very angry began to cuss and proceed to use his forearm to hit me in the face and push me back.? The arm that was used was the arm with two Iv's and cobrand around it. His nurse heard me inform pt he could not hit, and she came to assist we were able to get pt back in the unit and closer to nursing station.? I was not injured and did not want to press charges.",,,De-escalation techniques; Reported to department leader; EAP - Offered/Employee Assistance Program Information Provided,Nursing Assistant,Nursing Assistant,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Unknown,,
10/2/2024,Med/Surg/Inpatient,Emergency Department,CNA I- UNIT SECRETARY,,Abuse/Assault (Physical),Agitated; Mental Status/Capacity,,Grabbing/Pinching/Scratching/Hair Pull; Kicking/Hitting/Beating,"Changed patient in ER rm 26 and patient became combative and grabbed this writter's wrist, finger and bent back to almost breaking, punched multiple times in the ribs, chest, and stomach.?",,,EAP - Offered/Employee Assistance Program Information Provided,CNA I- UNIT SECRETARY,Nursing Assistant,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Unknown,,
10/2/2024,Med/Surg/Inpatient,Cardiac/Vascular Procedures & Diagnostics,Staff Nurse,,Abuse/Assault (Verbal),Action by Patient/Resident,,Posturing,"Pt here for procedure and this nurse? was attemping to get pt ready.? He was refusing and questioning everything that was asked of him to do to prep for procedure, such as remove clothing, wear hospital slippers, answer questions.? When this nurse returned to room for second time to continue getting pt ready he proceeded to refuse? things and continued to be uncooperative.? When i asked him questions he yelled at me and said he was deaf in one ear and hard of hearing in the other? so i spoke louder and at? that point he was screaming at me and doubled his fist up and shook in my face.? i exited the room. informed charge nurse at this point",,,No Action,Staff Nurse,Nurse,Verbal Abuse,Med/Surg/Inpatient,Clinical Unit,Unknown,,
10/3/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident; Patient - Lack of Compliance/Adherence,Severe,Biting,Received a bite while in restraint,,ED,Safety Alert Button Activated; Seclusion of Patient,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
10/4/2024,Other,Patient Unit - Psych/Behavioral Health,SUPV- NURSING RN,,Abuse/Assault (Physical),Action by Patient/Resident; Cognitive Impairment; Confused/Disoriented; Current Diagnosis/Condition; Inability to Understand; Mental Status/Capacity; Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding; Staff - Fatigue; Work Envmnt - Poor Air Quality,,Kicking/Hitting/Beating; Posturing,"Patient was at the nurse's station asking for his inhaler. He reported that he wanted to ""puff puff puff so it will pull all the demons out of me"". He was informed that he had used his inhaler already with his evening medications and would be able to use it again in about 3 more hours. He appeared to be responding to internal stimuli and was talking to someone to his right while intermittently holding his hands together and praying with his hands clasped. He was encouraged to wait in his room. He declined and approached the nurse's station while posturing towards staff. Again, staff attempted to redirect him verbally at which point he walked up to the nurse's station and punched this writer in the left side of their mouth with his right hand. Immediately he said, ""Only one time, I'm sorry, I'm sorry."" He was redirectable to his room where he was instructed to wait and would be brought his psychiatric emergency medications. He agreed, and when they were brought to him, he apologized to staff, reported he didn't want to hurt anyone, and took the psychiatric emergency medications by mouth.",,,EAP Offered; Reinstruction of Staff,SUPV- NURSING RN,Admin/Management,Physical Violence,Behavioral Health Unit,Clinical Unit,Unknown,,
10/4/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,,  ,patient punched me when i told her she couldn't block her door with her chair and mattress,,,De-escalation techniques,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
10/4/2024,ED,Patient Unit - Intensive/Critical Care,REGISTERED NURSE I,,Abuse/Assault (Physical),Altered Mental Status,,Kicking/Hitting/Beating,"From Safety/Security RL 36439:
At approximately 1130 prior to security arrival (RN,ICU) was attempting to assist the patient in the room when the patient kicks the (RN) in the chest with both feet. (RN) denies pressing charges and denies both EAP and medical attention. (Charge) states that the patient does not have the mental capacity to be aware of his actions. At approximately 1203 Security clears the unit. 
",,,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,REGISTERED NURSE I,Nurse,Physical Violence,ED/ER,Clinical Unit,Unknown,,
10/4/2024,Med/Surg/Inpatient,Surgery & Peri-Op Services,Staff Nurse,,Abuse/Assault (Physical),Altered Mental Status,,Kicking/Hitting/Beating,"Received patient to PACU Bay 6 at 2056 from OR. Patient was answering questions appropriately upon initial arrival to PACU. The nurse asked patient if he wanted some water, to which the patient replied yes, so the nurse went to get the patient water. Upon return with the water, the patient was agitated, trying to get out of bed, and ripping off his hospital gown. The nurse tried to redirect the patient, and the patient became increasingly agitated and unexpectedly slapped the nurse in the face around 2115 on 10/04/24. This was reported to the nursing supervisor at 2138 on 10/04/2024. The patient became increasingly agitated while in PACU and was trying to pull out his IVs and foley. Anesthesia was at bedside and administering medications and security came to the bedside to assist with restraining patient. Wrist restraints were placed at 2217 on 10/04/24.?",,,Chemical Restraint/Medication administered; De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided; Physical Restraints utilized,Staff Nurse,Nurse,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Unknown,,
10/5/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Interference by Patient/Resident; Staff - Insufficient Staff,Mild,  ,In evening patient tried running into another patient's bedroom and ran into staff grabbing my arm and squeezing it causing a bruise on my forearm.,,Urgent Care,Physical Restraints utilized; Seclusion of Patient,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Mild,1.0,
10/5/2024,Other,Patient Unit - Psych/Behavioral Health,RESOURCE TECHNICIAN,,Abuse/Assault (Physical),Other,Severe,Spitting,Before a restraint the patient gave himself a bloody nose. During the restraint the patient spit blood on this writer.?,,ED,Other,RESOURCE TECHNICIAN,Technologist/Technician,Physical Violence,Behavioral Health Unit,Clinical Unit,Severe,3.0,
10/5/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,Spitting,Pt. made their nose bleed and then proceeded to spit his bloody nose into my eyeballs and mouth. that I swallowed.?,,ED,Referred to Employee Health,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
10/5/2024,Other,Emergency Department,Security Guard,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence; Action by Patient/Resident,,Kicking/Hitting/Beating,"On Saturday 10/05/2024 at approximately 1056, Security in ED Overflow reports that the patient in room 27 had just eloped through the double doors toward x-ray.  SecuOnce in the DEA, the?patient kicks Officer in the face at 1059.??The assaulted Officers were not injured or seeking medical treatment. They did not wish to press charges. EAP offered and (House Manager) notified. No additional assaults or?injuries occurred. No damage to hospital property. Per the primary RN, the patient is aware of their actions.",,,No Action,Security Guard,Security,Physical Violence,ED/ER,Clinical Unit,Unknown,,
10/5/2024,Other,Emergency Department,Security Guard,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence; Action by Patient/Resident,,Kicking/Hitting/Beating,"On Saturday 10/05/2024 at approximately 1056, Security in ED Overflow reports that the patient in room 27 had just eloped through the double doors toward x-ray.  Security responds. Security then physically escorts the patient toward the DEA.  During the escort, the patient knees a Security Officer in the thigh 2 times at 1058.",,,No Action,Security Guard,Security,Physical Violence,ED/ER,Clinical Unit,Unknown,,
10/7/2024,BC,Outpt Practice - Psych/Behavioral Health,PSYCH CLIN II- SCHOOL/LCSW,,Abuse/Assault (Physical),Physical Environment Condition/Design,,Throwing an Object/Breaking Object,"EE was meeting with a non Northern Light patient.? at her school setting who threw a smooth rock in the meeting room and hit her in the nose with the object.? No damage done, no harm.",,,No Action,PSYCH CLIN II- SCHOOL/LCSW,Mental Health,Physical Violence,BC,Clinical Unit,Unknown,,
10/8/2024,ED,Emergency Department,REGISTERED NURSE I,,Abuse/Assault (Physical),Action by Patient/Resident,,Grabbing/Pinching/Scratching/Hair Pull; Kicking/Hitting/Beating; Throwing an Object/Breaking Object,"Patient assaulted staff x2 during this shift. First assault occured in the morning when this RN told patient that I would not provide horror movie coloring sheet. Patient threw breakfast trays and food at this RN and began kicking staff including this RN. Patient was put in a physical hold and seculsion per charting.?

Second assault occurred in the evening when patient wanted to move into the milieu. Patient kicked, hit, bit staff but not this RN.?",,,De-escalation techniques; Seclusion of Patient,REGISTERED NURSE I,Nurse,Physical Violence,ED/ER,Clinical Unit,Unknown,,
10/8/2024,BC,Emergency Department,PSYCHIATRIC TECHNICIAN,,Abuse/Assault (Physical),Action by Patient/Resident; Communication Failure,,Kicking/Hitting/Beating,"Pt was upset about not getting specific coloring pages when he was told about going to another room to calm down he yelled that he wasn't going to go. He then started to throw things at staff, security went hands on to move him into seclusion he started to kick med staff he kicked both the nurse and I.",,,De-escalation techniques; Seclusion of Patient,PSYCHIATRIC TECHNICIAN,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
10/8/2024,ED,Patient Unit - Intensive/Critical Care,Registered Nurse,,Abuse/Assault (Physical),Altered Mental Status,,Kicking/Hitting/Beating,"On Tuesday October 8, 2024, at approximately 1314 TOS announces Code Gray for Clason ICU Room 146. Security en route. At approximately 1317 upon arrival Security assists staff with moving the patient from a recliner to the bed and place the patient in a physical hold. At approximately 1320 (RN, ICU) administers IV medications to the patient while security and staff hold the patient to prevent any injuries. At approximately 1329 Security assists staff with holding the patient while (RN) and (RN) placed the patient in a soft wrist restraint and a posey vest. At approximately 1331 (RN) administers additional medications. At approximately 1334 Security releases the hold and clears the room. (RN) reports that prior to security arrival the patient kicked her in the chest, she denies EAP and Medical attention and denies pressing charges. (RN) states that the patient does not have the mental capacity to be aware of his actions.",,,EAP - Offered/Employee Assistance Program Information Provided; Reported to department leader,Registered Nurse,Nurse,Physical Violence,ED/ER,Clinical Unit,Unknown,,
10/9/2024,Other,Outpt Practice - Primary Care & Walk-in,Physician,,Abuse/Assault (Verbal),Communication Failure; Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding; Policy/Procedure Issue,,Harassment,"Patient continued behavioral issues. Patient verbally abusive towards staff and PCP and now Behavioral health provider. at last visit with BH provider pt threw phone across the room to end call. she apologized later but now states she was threated due to BH Provider saying she can be discharged for poor behavior.?

patient also has several calls to PCP office angry about not getting pain medications, when she has an established pain plan with PCP and specialists.?

See chart:?

PHOne noters/ office visits from 9/24-10/9

MRN: 2297383",,,Patient Behavior Safety Flag/Care Plan initiated,Physician,Physician/APP,Verbal Abuse,Outpatient,Clinical Unit,Unknown,,
10/9/2024,Other,Emergency Department,Security Guard,,Abuse/Assault (Physical),Other,,  ,"On Wednesday October 9, 2024, at 1330 the Patient grabs the Portable T.V. and attempts to damage it. Security restrains the Patient, for everyone??s safety and escorts them into their room, ED DEA Overflow 27. Medical Staff (Psych Tech, Emergency Department), (Staff Nurse, Emergency Department), Security, and Security enter Room 27 to assist with the situation and calm the Patient down. Patient continues to not be safe Security and Security Supervisor enter. Staff requests Patient to be brought to the ED DEA Room 33 for seclusion. Security and Nursing Staff Escort the Patient into the ED DEA. Patient is placed into Room 33 and Seclusion starts at 1334. 2 Assaults occurred during this incident with Security scratched in the arm and Security getting bit on the knuckles. No EAP, no medical, and no charges. (RN) states that she is unsure at this moment if the patient has the mental capacity to be aware of his actions. ",,,Unknown,Security Guard,Security,Physical Violence,ED/ER,Clinical Unit,Unknown,,
